type,precision,recall,f1,support,D_mean,U_mean,S_mean
accelerating,0.2941,0.2500,0.2703,60,6.4429,1.0138,-0.0615
drop,0.8438,0.9000,0.8710,30,17.8676,0.9877,-0.1290
gradual_shift,0.2750,0.1833,0.2200,60,6.9708,1.0201,0.1577
multi_sensor,0.6027,0.7333,0.6617,60,12.6076,1.0760,-0.1166
noise_burst,0.8679,0.7667,0.8142,60,40.6319,0.9877,-0.0533
persistent_offset,0.7763,0.9833,0.8676,60,23.4946,0.9953,-0.0471
sensor_freeze,0.9344,0.9500,0.9421,60,0.7376,0.9892,7.6755
sigmoid_plateau,0.3485,0.3833,0.3651,60,8.1578,1.0211,-0.1656
spike,0.8571,0.8000,0.8276,30,21.7159,0.9877,-0.0770
ACCURACY,0.6375,,,,,,
